job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
8,1,1000,0.8500,0.1500,2.0000,0.5000,0.2000,0.1000,0.2854,0.4491,0.8876
8,1,1000,0.9500,0.0500,1.5000,0.2000,0.2000,0.1000,0.4168,0.7355,0.9552
8,1,1000,0.6250,0.3750,1.0000,0.5000,0.2000,0.1000,0.1238,0.4271,0.8209
8,1,1000,0.8000,0.2000,1.5000,0.5000,0.2000,0.1000,0.2450,0.4681,0.8753
8,1,1000,0.5750,0.4250,0.5000,0.5000,0.2000,0.1000,0.0276,0.3333,0.7632
8,1,1000,0.8750,0.1250,0.5000,0.2000,0.2000,0.1000,0.2462,0.7046,0.9202
8,1,1000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,0.1164,0.3523,0.7958
8,1,1000,0.8750,0.1250,1.0000,0.5000,0.2000,0.1000,0.1923,0.4880,0.8727
8,1,1000,0.7500,0.2500,0.5000,0.5000,0.2000,0.1000,0.1084,0.4022,0.8142
8,1,1000,0.6500,0.3500,1.0000,0.5000,0.2000,0.1000,0.1638,0.4122,0.8216
8,1,1000,0.6500,0.3500,2.0000,0.5000,0.2000,0.1000,0.1955,0.3303,0.8248
8,1,1000,0.5500,0.4500,0.5000,0.5000,0.2000,0.1000,0.0400,0.3752,0.7760
8,1,1000,0.9750,0.0250,1.5000,0.5000,0.2000,0.1000,0.3427,0.5210,0.9080
8,1,1000,0.8750,0.1250,2.0000,0.5000,0.2000,0.1000,0.2689,0.4910,0.9064
8,1,1000,0.7750,0.2250,0.5000,0.2000,0.2000,0.1000,0.1423,0.6776,0.9119
8,1,1000,0.6000,0.4000,0.5000,0.2000,0.2000,0.1000,0.1641,0.6018,0.8611
8,1,1000,0.6000,0.4000,1.0000,0.2000,0.2000,0.1000,0.2016,0.5619,0.8732
8,1,1000,0.6250,0.3750,1.5000,0.5000,0.2000,0.1000,0.1376,0.3543,0.8194
8,1,1000,0.6000,0.4000,2.0000,0.2000,0.2000,0.1000,0.3206,0.6078,0.9072
8,1,1000,0.6250,0.3750,1.5000,0.2000,0.2000,0.1000,0.2828,0.5878,0.8887
8,1,1000,0.7250,0.2750,1.5000,0.5000,0.2000,0.1000,0.2176,0.4291,0.8538
8,1,1000,0.8500,0.1500,1.0000,0.2000,0.2000,0.1000,0.3265,0.7006,0.9285
8,1,1000,0.7000,0.3000,0.5000,0.5000,0.2000,0.1000,0.0694,0.3882,0.7890
8,1,1000,0.7500,0.2500,0.5000,0.2000,0.2000,0.1000,0.2362,0.6337,0.8912
8,1,1000,0.5750,0.4250,2.0000,0.2000,0.2000,0.1000,0.2952,0.5918,0.9014
8,1,1000,0.8000,0.2000,1.0000,0.2000,0.2000,0.1000,0.2833,0.6786,0.9246
8,1,1000,0.6000,0.4000,1.5000,0.5000,0.2000,0.1000,0.1705,0.3473,0.8137
8,1,1000,0.5500,0.4500,1.0000,0.2000,0.2000,0.1000,0.2081,0.5409,0.8631
8,1,1000,0.9250,0.0750,0.5000,0.5000,0.2000,0.1000,0.2530,0.5259,0.8711
8,1,1000,0.9500,0.0500,2.0000,0.5000,0.2000,0.1000,0.3450,0.5319,0.9161
8,1,1000,0.7250,0.2750,0.5000,0.2000,0.2000,0.1000,0.1763,0.6637,0.8900
8,1,1000,0.5000,0.5000,2.0000,0.2000,0.2000,0.1000,0.2305,0.5289,0.8767
8,1,1000,1.0000,0.0000,2.0000,0.2000,0.2000,0.1000,0.2045,0.7585,0.9741
8,1,1000,0.9000,0.1000,1.0000,0.5000,0.2000,0.1000,0.2003,0.5040,0.8927
8,1,1000,0.8000,0.2000,2.0000,0.2000,0.2000,0.1000,0.3432,0.6307,0.9286
8,1,1000,0.7000,0.3000,2.0000,0.5000,0.2000,0.1000,0.2454,0.3772,0.8563
8,1,1000,0.9250,0.0750,1.5000,0.2000,0.2000,0.1000,0.3672,0.7186,0.9556
8,1,1000,0.9000,0.1000,0.5000,0.2000,0.2000,0.1000,0.3202,0.6936,0.9231
8,1,1000,0.9250,0.0750,1.0000,0.2000,0.2000,0.1000,0.3130,0.7265,0.9467
8,1,1000,1.0000,0.0000,1.0000,0.5000,0.2000,0.1000,0.3335,0.5649,0.9074
8,1,1000,0.5250,0.4750,0.5000,0.2000,0.2000,0.1000,0.0847,0.5878,0.8533
8,1,1000,0.7250,0.2750,2.0000,0.2000,0.2000,0.1000,0.1378,0.6806,0.9404
8,1,1000,0.5250,0.4750,2.0000,0.2000,0.2000,0.1000,0.1499,0.5210,0.8775
8,1,1000,0.9000,0.1000,1.5000,0.5000,0.2000,0.1000,0.2168,0.4860,0.8923
8,1,1000,0.7000,0.3000,1.5000,0.5000,0.2000,0.1000,0.1886,0.4052,0.8470
8,1,1000,1.0000,0.0000,0.5000,0.5000,0.2000,0.1000,0.1578,0.5629,0.8941
8,1,1000,0.8250,0.1750,0.5000,0.5000,0.2000,0.1000,0.1650,0.4830,0.8456
8,1,1000,0.8250,0.1750,2.0000,0.5000,0.2000,0.1000,0.3153,0.4371,0.8786
8,1,1000,0.7250,0.2750,1.5000,0.2000,0.2000,0.1000,0.3196,0.6188,0.9094
8,1,1000,0.6250,0.3750,2.0000,0.5000,0.2000,0.1000,0.1846,0.3483,0.8286
8,1,1000,0.9750,0.0250,0.5000,0.2000,0.2000,0.1000,0.3735,0.7345,0.9375
8,1,1000,0.5500,0.4500,2.0000,0.2000,0.2000,0.1000,0.1926,0.5439,0.8913
8,1,1000,0.6500,0.3500,0.5000,0.5000,0.2000,0.1000,0.0778,0.3772,0.7901
8,1,1000,0.9250,0.0750,0.5000,0.2000,0.2000,0.1000,0.3668,0.7405,0.9369
